Brand,IG,Website,Other Socials,Active Ads,Notes,Source
Elisa Johnson,@elisajohnson.co,https://elisajohnson.co/,,Unknown,Luxury eyewear brand,https://elisajohnson.co/;https://www.instagram.com/elisajohnson.co/;https://fashionista.com/2025/11/elisa-johnson-eyewear-brand
Crap Eyewear,@crapeyewear,https://www.crapeyewear.com/,,Unknown,LA-based sunglasses/eyewear,https://www.crapeyewear.com/;https://www.instagram.com/crapeyewear/
RAEN,@raen,https://raen.com/,,Unknown,RAEN Optics eyewear,https://raen.com/;https://www.instagram.com/raen/
KREWE,@krewe,https://www.krewe.com/,https://www.facebook.com/KREWE/,Unknown,New Orleans luxury eyewear,https://www.krewe.com/;https://www.instagram.com/krewe/;https://www.facebook.com/KREWE/
AKILA,@akila.la,https://akila.la/,,Unknown,Independent eyewear brand based in Los Angeles,https://akila.la/;https://www.instagram.com/akila.la/
Valley Eyewear,@valleyeyewear,https://valleyeyewear.com/,https://www.facebook.com/valleyeyewear/,Unknown,Luxury eyewear designed in Australia,https://valleyeyewear.com/;https://www.instagram.com/valleyeyewear/;https://www.facebook.com/valleyeyewear/
KALEOS,@kaleoscollection,https://kaleoscollection.com/,,Unknown,Barcelona-designed fashion eyewear brand,https://kaleoscollection.com/;https://www.instagram.com/kaleoscollection/
Pala Eyewear,@palaeyewear,https://palaeyewear.com/,https://www.facebook.com/palaeyewear/,Unknown,Ethical/sustainable eyewear brand funding eyecare in Africa,https://palaeyewear.com/;https://www.instagram.com/palaeyewear/;https://www.facebook.com/palaeyewear/
Sun Buddies,@sunbuddies,https://sunbuddieseyewear.com/,,Unknown,Swedish premium unisex eyewear line,https://sunbuddieseyewear.com/;https://www.instagram.com/sunbuddies/
GAST,@gast,https://www.gast-shop.com/,https://www.facebook.com/gasteyewear/,Unknown,Independent eyewear label based in Milan,https://www.gast-shop.com/;https://www.instagram.com/gast/;https://www.facebook.com/gasteyewear/
VEHLA,@vehla,https://vehla.com/,,Unknown,Eyewear & apparel brand (sunglasses focus),https://vehla.com/;https://www.instagram.com/vehla/
Meller,@meller,https://mellerbrand.com/,,Unknown,Barcelona-born sunglasses/eyewear brand,https://mellerbrand.com/;https://www.instagram.com/meller/
Sunday Somewhere,@sundaysomewhere,https://sundaysomewhere.com/,https://www.facebook.com/sundaysomewhere/,Unknown,Designer eyewear inspired by 70s aesthetics,https://sundaysomewhere.com/;https://www.instagram.com/sundaysomewhere/;https://www.facebook.com/sundaysomewhere/
Garrett Leight,@garrettleight,https://www.garrettleight.com/,,Unknown,California lifestyle premium eyewear,https://www.garrettleight.com/;https://www.instagram.com/garrettleight/
FORA,@fora_sunglasses,https://fora.pt/,https://www.facebook.com/FORAsunglasses/,Unknown,Lisbon independent eyewear brand,https://fora.pt/;https://www.instagram.com/fora_sunglasses/;https://www.facebook.com/FORAsunglasses/
Ffin Eyewear,@ffineyewear,https://ffineyewear.com/,https://www.facebook.com/ffineyewear,Unknown,Independent eyewear designed in Wales,https://ffineyewear.com/;https://www.instagram.com/ffineyewear/;https://www.facebook.com/ffineyewear
Akoni,@akonieyewear,https://akoni.com/,,Unknown,Designer eyewear made in Japan,https://akoni.com/;https://www.instagram.com/akonieyewear/
L.G.R,@lgrworld,https://www.lgrworld.com/en/,https://www.facebook.com/lgrworld,Unknown,Handmade in Italy luxury eyewear,https://www.lgrworld.com/en/;https://www.instagram.com/lgrworld/;https://www.facebook.com/lgrworld
MYKITA,@mykitaofficial,https://mykita.com/en,,Unknown,Handmade designer eyewear from Berlin,https://mykita.com/en;https://www.instagram.com/mykitaofficial/
Eco Eyewear,@ecoeyewear,https://eco-eyewear.com/,,Unknown,Sustainable eyewear brand (carbon negative).,https://eco-eyewear.com/pages/our-story;https://www.instagram.com/ecoeyewear/
Karün,@karun_world,https://usa.karuneyewear.com/,,Unknown,Radically sustainable eyewear brand from Patagonia.,https://usa.karuneyewear.com/;https://www.instagram.com/karun_world/
MITA Eyewear,@mitaeyewear,https://mita-eyewear.com/,https://www.facebook.com/mitaeyewear/,Unknown,Miami-born sustainable eyewear brand with Italian roots.,https://mita-eyewear.com/;https://www.instagram.com/mitaeyewear/;https://www.facebook.com/mitaeyewear/
District Vision,@districtvision,https://districtvision.com/,,Unknown,Performance running eyewear brand.,https://districtvision.com/;https://www.instagram.com/districtvision/
Matsuda,@matsudaeyewear,https://www.matsuda.com/,,Unknown,Hand crafted eyewear made in Japan.,https://www.matsuda.com/;https://www.instagram.com/matsudaeyewear/
Jacques Marie Mage,@jacquesmariemage,https://jacquesmariemage.com/,,Unknown,Limited-edition luxury eyewear handcrafted in Japan/Italy.,https://jacquesmariemage.com/;https://www.instagram.com/jacquesmariemage/
Barton Perreira,@bartonperreira,https://bartonperreira.com/,https://www.facebook.com/BartonPerreiraEyewear/,Unknown,"""Responsible luxury eyewear, handmade in Japan.""",
MOSCOT,@moscotnyc,https://moscot.com/,,Unknown,NYC heritage eyewear brand since 1915.,https://moscot.com/;https://www.instagram.com/moscotnyc/
Oliver Peoples,@oliverpeoples,https://www.oliverpeoples.com/en-us,https://www.facebook.com/oliverpeoples/,Unknown,Los Angeles luxury eyewear brand.,https://www.oliverpeoples.com/en-us;https://www.instagram.com/oliverpeoples/;https://www.facebook.com/oliverpeoples/
Gentle Monster,@gentlemonster,https://gentlemonster.com/,,Unknown,South Korean luxury eyewear brand.,https://gentlemonster.com/;https://www.instagram.com/gentlemonster/
DITA,@ditaeyewear,https://dita.com/,,Unknown,Luxury eyewear brand known for craftsmanship.,https://dita.com/;https://www.instagram.com/ditaeyewear/
Neven Eyewear,@neveneyewearofficial,https://neveneyewear.com/,,Unknown,Polarized sunglasses + prescription eyewear,https://neveneyewear.com/;https://www.instagram.com/neveneyewearofficial/
CHIMI,@chimi,https://chimi-online.com/us,,Unknown,Stockholm-based eyewear & ready-to-wear brand.,https://chimi-online.com/us;https://www.instagram.com/chimi/
SALT. Optics,@saltoptics,https://saltoptics.com/,,Unknown,Independent premium eyewear brand; handcrafted in Japan.,https://saltoptics.com/;https://www.instagram.com/saltoptics/
RETROSUPERFUTURE,@retrosuperfuture,https://retrosuperfuture.com/,https://www.facebook.com/retrosuperfuture/,Unknown,Milan-designed contemporary eyewear brand.,https://retrosuperfuture.com/;https://www.instagram.com/retrosuperfuture/;https://www.facebook.com/retrosuperfuture/
Etnia Barcelona,@etniabarcelona,https://www.etniabarcelona.com/us/en,,Unknown,Eyewear brand inspired by art & culture (Barcelona).,https://www.etniabarcelona.com/us/en;https://www.instagram.com/etniabarcelona/
WEB Eyewear,@webeyewearofficial,https://www.web-eyewear.com/,https://www.facebook.com/webeyewearofficial/,Unknown,Timeless essentials eyewear brand (Marcolin house brand).,https://www.web-eyewear.com/;https://www.instagram.com/webeyewearofficial/;https://www.facebook.com/webeyewearofficial/
Kuboraum,@kuboraum,https://www.kuboraum.com/,,Unknown,Berlin-designed mask-like eyewear handcrafted in Italy,https://www.kuboraum.com/;https://www.instagram.com/kuboraum/
Masunaga,@masunaga_since_1905_official,https://www.masunaga1905.com/en,,Unknown,Japanese eyewear brand since 1905,https://www.masunaga1905.com/en;https://www.instagram.com/masunaga_since_1905_official/
AHLEM,@ahlem,https://www.ahlemeyewear.com/,https://www.facebook.com/AHLEMEYEWEAR/,Unknown,Luxury eyewear handmade in France designed in LA,https://www.ahlemeyewear.com/;https://www.instagram.com/ahlem/;https://www.facebook.com/AHLEMEYEWEAR/
Cutler and Gross,@cutlerandgross,https://www.cutlerandgross.com/en-us,,Unknown,British eyewear handcrafted since 1969,https://www.cutlerandgross.com/en-us;https://www.instagram.com/cutlerandgross/
Linda Farrow,@lindafarrow,https://lindafarrow.com/en-us,,Unknown,London luxury eyewear since 1970,https://lindafarrow.com/en-us;https://www.instagram.com/lindafarrow/
ic! berlin,@icberlinofficial,https://www.ic-berlin.com/,,Unknown,High-end screwless eyewear from Berlin,https://www.ic-berlin.com/;https://www.instagram.com/icberlinofficial/
Shwood Eyewear,@shwoodshop,https://shwoodshop.com/,,Unknown,Handcrafted wood/acrylic eyewear from Portland,https://shwoodshop.com/;https://www.instagram.com/shwoodshop/
Proof Eyewear,@proofeyewear,https://www.iwantproof.com/,https://www.facebook.com/ProofEyewear/,Unknown,Sustainable eyewear brand focused on giving back,https://www.iwantproof.com/;https://www.instagram.com/proofeyewear/;https://www.facebook.com/ProofEyewear/
Caddis,@caddis_life,https://caddislife.com/,,Unknown,Readers/prescription/sunglasses focused on aging-positive messaging,https://caddislife.com/;https://www.instagram.com/caddis_life/
Vint & York,@vintandyork,https://www.vintandyork.com/,,Unknown,Vintage-inspired eyewear brand,https://www.vintandyork.com/;https://www.instagram.com/vintandyork/
ROKA,@roka,https://www.roka.com/,,Unknown,Performance optics and technical eyewear,https://www.roka.com/;https://www.instagram.com/roka/
Zeal Optics,@zealoptics,https://www.zealoptics.com/,,Unknown,Action-sport sunglasses and goggles brand,https://www.zealoptics.com/;https://www.instagram.com/zealoptics/
Goodr Sunglasses,@goodr,https://goodr.com/,,Unknown,Affordable active sunglasses brand (no slip/no bounce),https://goodr.com/;https://www.instagram.com/goodr/
Sunski,@sunski,https://sunski.com/,,Unknown,Sustainable outdoor sunglasses brand,https://sunski.com/;https://www.instagram.com/sunski/
Knockaround,@knockaround,https://knockaround.com/,,Unknown,Affordable sport/lifestyle sunglasses,https://knockaround.com/;https://www.instagram.com/knockaround/
Le Specs,@lespecs,https://lespecs.com/,,Unknown,Australian fashion sunglasses brand,https://lespecs.com/;https://www.instagram.com/lespecs/
IZIPIZI,@izipizi,https://www.izipizi.com/,,Unknown,Everyday glasses and sunglasses brand,https://www.izipizi.com/;https://www.instagram.com/izipizi/
KOMONO,@komono,https://www.komono.com/,,Unknown,Belgian accessories and eyewear brand,https://www.komono.com/;https://www.instagram.com/komono/
Kimeze,@kimeze,https://kimeze.com/,,Unknown,London-designed luxury eyewear,https://kimeze.com/;https://www.instagram.com/kimeze/
Bird Eyewear,@findyourbirds,https://findyourbirds.com/,,Unknown,Sustainable UK eyewear brand,https://findyourbirds.com/;https://www.instagram.com/findyourbirds/
CHILDE,@childe_co,https://childe.co/,,Unknown,Australian eco-sensitive eyewear,https://childe.co/;https://www.instagram.com/childe_co/
Bajio Sunglasses,@bajiosunglasses,https://bajiosunglasses.com/,,Unknown,Florida-based polarized fishing sunglasses,https://bajiosunglasses.com/;https://www.instagram.com/bajiosunglasses/
VALLON,@vallon_official,https://www.vallon.com/,,Unknown,Performance/lifestyle eyewear for outdoors,https://www.vallon.com/;https://www.instagram.com/vallon_official/
Randolph Engineering,@randolphusa,https://www.randolphusa.com/,,Unknown,Independent eyewear/sunglasses brand,https://www.randolphusa.com/;https://www.instagram.com/randolphusa/
Vuarnet,@vuarnet,https://www.vuarnet.com/,,Unknown,Independent eyewear/sunglasses brand,https://www.vuarnet.com/;https://www.instagram.com/vuarnet/
Persol,@persol,https://www.persol.com/,,Unknown,Independent eyewear/sunglasses brand,https://www.persol.com/;https://www.instagram.com/persol/
Oliver Goldsmith,@oliver_goldsmith,https://www.olivergoldsmith.com/,,Unknown,Independent eyewear/sunglasses brand,https://www.olivergoldsmith.com/;https://www.instagram.com/oliver_goldsmith/
Thierry Lasry,@thierrylasry,https://thierrylasry.com/,,Unknown,Independent eyewear/sunglasses brand,https://thierrylasry.com/;https://www.instagram.com/thierrylasry/
TAVAT,@tavateyewear,https://tavat-eyewear.com/,,Unknown,Independent eyewear/sunglasses brand,https://tavat-eyewear.com/;https://www.instagram.com/tavateyewear/
Rolf Spectacles,@rolf_spectacles,https://www.rolf-spectacles.com/,,Unknown,Independent eyewear/sunglasses brand,https://www.rolf-spectacles.com/;https://www.instagram.com/rolf_spectacles/
Blackfin,@blackfineyewear,https://www.blackfin.eu/,,Unknown,Independent eyewear/sunglasses brand,https://www.blackfin.eu/;https://www.instagram.com/blackfineyewear/
GIGI Studios,@gigistudios,https://www.gigistudios.com/,,Unknown,Independent eyewear/sunglasses brand,https://www.gigistudios.com/;https://www.instagram.com/gigistudios/
Lapima,@lapima,https://www.lapima.com/,,Unknown,Independent eyewear/sunglasses brand,https://www.lapima.com/;https://www.instagram.com/lapima/
OGI Eyewear,@ogispecs,https://www.ogi-eyewear.com/,,Unknown,Independent eyewear/sunglasses brand,https://www.ogi-eyewear.com/;https://www.instagram.com/ogispecs/
Sabine Be,@sabinebe,https://www.sabinebe.com/,,Unknown,Independent eyewear/sunglasses brand,https://www.sabinebe.com/;https://www.instagram.com/sabinebe/
Face a Face,@faceaface_paris,https://www.faceaface-paris.com/,,Unknown,Independent eyewear/sunglasses brand,https://www.faceaface-paris.com/;https://www.instagram.com/faceaface_paris/
LINDBERG,@lindbergeyewear,https://lindberg.com/,,Unknown,Independent eyewear/sunglasses brand,https://lindberg.com/;https://www.instagram.com/lindbergeyewear/
Anne et Valentin,@anneetvalentin,https://www.anneetvalentin.com/,,Unknown,Independent eyewear/sunglasses brand,https://www.anneetvalentin.com/;https://www.instagram.com/anneetvalentin/
SPY Optic,@spyoptic,https://www.spyoptic.com/,,Unknown,Independent eyewear/sunglasses brand,https://www.spyoptic.com/;https://www.instagram.com/spyoptic/
Blenders Eyewear,@blenders,https://www.blenderseyewear.com/,,Unknown,Independent eyewear/sunglasses brand,https://www.blenderseyewear.com/;https://www.instagram.com/blenders/
SunGod,@sungod,https://www.sungod.co/,,Unknown,Independent eyewear/sunglasses brand,https://www.sungod.co/;https://www.instagram.com/sungod/
JULBO,@julbo_eyewear,https://www.julbo.com/,,Unknown,Independent eyewear/sunglasses brand,https://www.julbo.com/;https://www.instagram.com/julbo_eyewear/
Julius Tart Optical,@juliustartoptical,https://www.juliustartoptical.com/,,Unknown,Independent eyewear/sunglasses brand,https://www.juliustartoptical.com/;https://www.instagram.com/juliustartoptical/
Warby Parker,@warbyparker,https://www.warbyparker.com/,,Unknown,Independent eyewear brand,https://www.warbyparker.com/;https://www.instagram.com/warbyparker/
Ace & Tate,@aceandtate,https://www.aceandtate.com/,,Unknown,Independent eyewear brand,https://www.aceandtate.com/;https://www.instagram.com/aceandtate/
Cubitts,@cubittseyewear,https://www.cubitts.com/,,Unknown,Independent eyewear brand,https://www.cubitts.com/;https://www.instagram.com/cubittseyewear/
Jimmy Fairly,@jimmyfairly,https://jimmyfairly.com/,,Unknown,Independent eyewear brand,https://jimmyfairly.com/;https://www.instagram.com/jimmyfairly/
JINS,@jins,https://www.jins.com/,,Unknown,Independent eyewear brand,https://www.jins.com/;https://www.instagram.com/jins/
EyeBuyDirect,@eyebuydirect,https://www.eyebuydirect.com/,,Unknown,Independent eyewear brand,https://www.eyebuydirect.com/;https://www.instagram.com/eyebuydirect/
Zenni Optical,@zennioptical,https://www.zennioptical.com/,,Unknown,Independent eyewear brand,https://www.zennioptical.com/;https://www.instagram.com/zennioptical/
Felix Gray,@felixgray,https://felixgray.com/,,Unknown,Independent eyewear brand,https://felixgray.com/;https://www.instagram.com/felixgray/
Privé Revaux,@priverevaux,https://priverevaux.com/,,Unknown,Independent eyewear brand,https://priverevaux.com/;https://www.instagram.com/priverevaux/
DIFF Eyewear,@diffeyewear,https://www.diffeyewear.com/,,Unknown,Independent eyewear brand,https://www.diffeyewear.com/;https://www.instagram.com/diffeyewear/
Quay Australia,@quayaustralia,https://www.quayaustralia.com/,,Unknown,Independent eyewear brand,https://www.quayaustralia.com/;https://www.instagram.com/quayaustralia/
illesteva,@illesteva,https://illesteva.com/,,Unknown,Independent eyewear brand,https://illesteva.com/;https://www.instagram.com/illesteva/
Kaenon,@kaenon,https://kaenon.com/,,Unknown,Independent eyewear brand,https://kaenon.com/;https://www.instagram.com/kaenon/
Dragon Alliance,@dragonalliance,https://www.dragonalliance.com/,,Unknown,Independent eyewear brand,https://www.dragonalliance.com/;https://www.instagram.com/dragonalliance/
Smith Optics,@smithoptics,https://www.smithoptics.com/,,Unknown,Independent eyewear brand,https://www.smithoptics.com/;https://www.instagram.com/smithoptics/
Maui Jim,@mauijim,https://www.mauijim.com/,,Unknown,Independent eyewear brand,https://www.mauijim.com/;https://www.instagram.com/mauijim/
Serengeti Eyewear,@serengetieyewear,https://www.serengeti-eyewear.com/,,Unknown,Independent eyewear brand,https://www.serengeti-eyewear.com/;https://www.instagram.com/serengetieyewear/
Revo,@revo,https://revo.com/,,Unknown,Independent eyewear brand,https://revo.com/;https://www.instagram.com/revo/
LA Eyeworks,@laeyeworks,https://www.laeyeworks.com/,,Unknown,Independent eyewear brand,https://www.laeyeworks.com/;https://www.instagram.com/laeyeworks/
Robert Marc,@robertmarcnyc,https://www.robertmarcnyc.com/,,Unknown,Independent eyewear brand,https://www.robertmarcnyc.com/;https://www.instagram.com/robertmarcnyc/
Selima Optique,@selimaoptique,https://selimaoptique.com/,,Unknown,Independent eyewear brand,https://selimaoptique.com/;https://www.instagram.com/selimaoptique/
Theo Eyewear,@theoeyewear,https://www.theo.be/,,Unknown,Independent eyewear brand,https://www.theo.be/;https://www.instagram.com/theoeyewear/
Orgreen Optics,@orgreenoptics,https://orgreenoptics.com/,,Unknown,Independent eyewear brand,https://orgreenoptics.com/;https://www.instagram.com/orgreenoptics/
Götti,@gotti_switzerland,https://www.gotti.ch/,,Unknown,Independent eyewear brand,https://www.gotti.ch/;https://www.instagram.com/gotti_switzerland/
Lunor,@lunorofficial,https://www.lunor.com/,,Unknown,Independent eyewear brand,https://www.lunor.com/;https://www.instagram.com/lunorofficial/
Morgenthal Frederics,@morgenthalfrederics,https://morgenthalfrederics.com/,,Unknown,Independent eyewear brand,https://morgenthalfrederics.com/;https://www.instagram.com/morgenthalfrederics/
MODO Eyewear,@modoeyewear,https://www.modo.com/,,Unknown,Independent eyewear brand,https://www.modo.com/;https://www.instagram.com/modoeyewear/
Rudy Project,@rudyproject,https://www.rudyproject.com/,,Unknown,Independent eyewear brand,https://www.rudyproject.com/;https://www.instagram.com/rudyproject/
Electric Eyewear,@electriccalifornia,https://www.electriccalifornia.com/,,Unknown,Independent eyewear brand,https://www.electriccalifornia.com/;https://www.instagram.com/electriccalifornia/
Native Eyewear,@nativeeyewear,https://www.nativeeyewear.com/,,Unknown,Independent eyewear brand,https://www.nativeeyewear.com/;https://www.instagram.com/nativeeyewear/
Article One,@articleoneeyewear,https://articleone.com/,,Unknown,Independent eyewear brand,https://articleone.com/;https://www.instagram.com/articleoneeyewear/
State Optical Co,@stateopticalco,https://stateopticalco.com/,,Unknown,Independent eyewear brand,https://stateopticalco.com/;https://www.instagram.com/stateopticalco/
FINLAY & Co,@finlayandco,https://www.finlayandco.com/,,Unknown,Independent eyewear brand,https://www.finlayandco.com/;https://www.instagram.com/finlayandco/
BLOOBLOOM,@bloobloom,https://www.bloobloom.com/,,Unknown,Independent eyewear brand,https://www.bloobloom.com/;https://www.instagram.com/bloobloom/
Tens,@tensofficial,https://www.tens.co/,,Unknown,Independent eyewear brand,https://www.tens.co/;https://www.instagram.com/tensofficial/
Monoqool,@monoqool,https://www.monoqool.com/,,Unknown,Independent eyewear brand,https://www.monoqool.com/;https://www.instagram.com/monoqool/
Andy Wolf,@andywolfeyewear,https://www.andy-wolf.com/,,Unknown,Independent eyewear brand,https://www.andy-wolf.com/;https://www.instagram.com/andywolfeyewear/
VAVA Eyewear,@vavaeyewear,https://www.vavaeyewear.com/,,Unknown,Independent eyewear brand,https://www.vavaeyewear.com/;https://www.instagram.com/vavaeyewear/
EYEVAN,@eyevan_japan,https://eyevaneyewear.com/,,Unknown,Independent eyewear brand,https://eyevaneyewear.com/;https://www.instagram.com/eyevan_japan/
Masahiromaruyama,@masahiromaruyama,https://www.masahiromaruyama.com/,,Unknown,Independent eyewear brand,https://www.masahiromaruyama.com/;https://www.instagram.com/masahiromaruyama/
Yellows Plus,@yellowsplus,https://www.yellowsplus.com/,,Unknown,Independent eyewear brand,https://www.yellowsplus.com/;https://www.instagram.com/yellowsplus/
Native Sons,@nativesons,https://nativesons.com/,,Unknown,Independent eyewear brand,https://nativesons.com/;https://www.instagram.com/nativesons/
BJ Classic Collection,@bjclassiccollection,https://bjclassiccollection.co.jp/,,Unknown,Independent eyewear brand,https://bjclassiccollection.co.jp/;https://www.instagram.com/bjclassiccollection/
Ayame,@ayame_optical,https://ayame-eyewear.com/,,Unknown,Independent eyewear brand,https://ayame-eyewear.com/;https://www.instagram.com/ayame_optical/
Mr. Leight,@mrleight,https://mrleight.com/,,Unknown,Independent eyewear brand,https://mrleight.com/;https://www.instagram.com/mrleight/
Parafina,@parafina,https://parafina.com/,,Unknown,Independent eyewear brand,https://parafina.com/;https://www.instagram.com/parafina/
Sea2see,@sea2see,https://sea2see.org/,,Unknown,Independent eyewear brand,https://sea2see.org/;https://www.instagram.com/sea2see/
Caroline Abram,@carolineabram,https://www.carolineabram.com/,,Unknown,Independent eyewear brand,https://www.carolineabram.com/;https://www.instagram.com/carolineabram/
WOOW,@wooweyewear,https://www.wooweyewear.com/,,Unknown,Independent eyewear brand,https://www.wooweyewear.com/;https://www.instagram.com/wooweyewear/
Lafont,@lafonteyewear,https://www.lafont.com/,,Unknown,Independent eyewear brand,https://www.lafont.com/;https://www.instagram.com/lafonteyewear/
J.F. Rey,@jfrey_official,https://www.jfrey.fr/,,Unknown,Independent eyewear brand,https://www.jfrey.fr/;https://www.instagram.com/jfrey_official/
Prodesign Denmark,@prodesign_denmark,https://www.prodesign-denmark.com/,,Unknown,Independent eyewear brand,https://www.prodesign-denmark.com/;https://www.instagram.com/prodesign_denmark/
Eque.M,@eque.m,https://equem.com/,,Unknown,Independent eyewear brand,https://equem.com/;https://www.instagram.com/eque.m/
Bailey Nelson,@baileynelson,https://baileynelson.com/,,Unknown,Independent eyewear brand,https://baileynelson.com/;https://www.instagram.com/baileynelson/
Oscar Wylee,@oscarwylee,https://www.oscarwylee.com/,,Unknown,Independent eyewear brand,https://www.oscarwylee.com/;https://www.instagram.com/oscarwylee/
Polette,@poletteeyewear,https://www.polette.com/,,Unknown,Independent eyewear brand,https://www.polette.com/;https://www.instagram.com/poletteeyewear/
Hawkers,@hawkersco,https://www.hawkersco.com/,,Unknown,Independent eyewear brand,https://www.hawkersco.com/;https://www.instagram.com/hawkersco/
Tifosi Optics,@tifosioptics,https://www.tifosioptics.com/,,Unknown,Independent eyewear brand,https://www.tifosioptics.com/;https://www.instagram.com/tifosioptics/
Shady Rays,@shadyrays,https://www.shadyrays.com/,,Unknown,Independent eyewear brand,https://www.shadyrays.com/;https://www.instagram.com/shadyrays/
Pit Viper,@pitviper,https://pitviper.com/,,Unknown,Independent eyewear brand,https://pitviper.com/;https://www.instagram.com/pitviper/
OTIS Eyewear,@otiseyewear,https://otiseyewear.com/,,Unknown,Independent eyewear brand,https://otiseyewear.com/;https://www.instagram.com/otiseyewear/
Carve Eyewear,@carveeyewear,https://carveeyewear.com/,,Unknown,Independent eyewear brand,https://carveeyewear.com/;https://www.instagram.com/carveeyewear/
Sunnies Studios,@sunniesstudios,https://sunniesstudios.com/,,Unknown,Independent eyewear brand,https://sunniesstudios.com/;https://www.instagram.com/sunniesstudios/
Bonnie Clyde,@bonnieclyde,https://bonnieclyde.la/,,Unknown,Independent eyewear brand,https://bonnieclyde.la/;https://www.instagram.com/bonnieclyde/
Monc Eyewear,@monceyewear,https://monceyewear.com/,,Unknown,Independent eyewear brand,https://monceyewear.com/;https://www.instagram.com/monceyewear/
HAPTER,@hapter,https://www.hapter.it/,,Unknown,Independent eyewear brand,https://www.hapter.it/;https://www.instagram.com/hapter/
Movitra,@movitra,https://movitra.it/,,Unknown,Independent eyewear brand,https://movitra.it/;https://www.instagram.com/movitra/
LOOL,@looleyewear,https://lool-eyewear.com/,,Unknown,Independent eyewear brand,https://lool-eyewear.com/;https://www.instagram.com/looleyewear/
Spektrum,@spektrum,https://spektrum-sports.com/,,Unknown,Independent eyewear brand,https://spektrum-sports.com/;https://www.instagram.com/spektrum/
